date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:39	301/301	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:41:40%20GMT	http://digitalschool.minedu.gov.gr/robots.txt		(from )
17:41:39	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2012%20Nov%202012%2015:41:40%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/index.html	(from )
17:41:39	37646/37646	U--MC-	200	updated ('OK')	text/html	date:Mon,%2012%20Nov%202012%2015:41:40%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/)
17:41:39	297/297	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:41:41%20GMT	http://ds-analytics.noc.uoa.gr/robots.txt		(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/)
17:41:40	21993/21993	U--MC-	200	updated ('OK')	text/html	date:Mon,%2012%20Nov%202012%2015:41:41%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/)
17:41:41	43/43	U-----	200	untouched ('OK')	image/gif	date:Mon,%2012%20Nov%202012%2015:01:24%20GMT	http://ds-analytics.noc.uoa.gr/piwik.php?idsite=2	/var/www/moodle/uploads/book_A/ds-analytics.noc.uoa.gr/piwik0624.gif	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/)
17:41:43	36751/36751	U--MC-	200	updated ('OK')	text/html	date:Mon,%2012%20Nov%202012%2015:41:44%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
17:41:45	51954/51954	U--MC-	200	updated ('OK')	text/html	date:Mon,%2012%20Nov%202012%2015:41:45%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/)
17:41:45	167948/167948	U-----	200	untouched ('OK')	text/html	etag:%22980183-2900c-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_efarmogi/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_efarmogi/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/)
17:41:46	333/333	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:41:47%20GMT	http://digitalschool.minedu.gov.gr/geogebra/4.0/geogebra.GeoGebraApplet.class	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/geogebra/4.0/geogebra.GeoGebraApplet.59.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/)
17:41:46	248/248	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:41:47%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_efarmogi/geogebra.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_efarmogi/geogebra.5a.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/)
17:41:46	64816/64816	U-----	200	untouched ('OK')	text/html	etag:%2298018a-fd30-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_drastiriotita/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_drastiriotita/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/)
17:41:47	253/253	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:41:48%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_drastiriotita/geogebra.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_drastiriotita/geogebra.5d.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/)
17:41:48	46756/46756	U--MC-	200	updated ('OK')	text/html	date:Mon,%2012%20Nov%202012%2015:41:48%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/)
17:41:49	8286/8286	U-----	200	untouched ('OK')	text/html	etag:%22980196-205e-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/extras/Experiments-Simulations/GeoGebra/kefa1_2_efarmogi_3_a/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/extras/Experiments-Simulations/GeoGebra/kefa1_2_efarmogi_3_a/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/)
17:41:49	252/252	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:41:50%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/extras/Experiments-Simulations/GeoGebra/kefa1_2_efarmogi_3_a/geogebra.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/extras/Experiments-Simulations/GeoGebra/kefa1_2_efarmogi_3_a/geogebra.98.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/)
17:41:49	8621/8621	U-----	200	untouched ('OK')	text/html	etag:%2298019f-21ad-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/extras/Experiments-Simulations/GeoGebra/kefa1_2_efarmogi_3_b/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/extras/Experiments-Simulations/GeoGebra/kefa1_2_efarmogi_3_b/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/)
17:41:49	252/252	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:41:51%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/extras/Experiments-Simulations/GeoGebra/kefa1_2_efarmogi_3_b/geogebra.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/extras/Experiments-Simulations/GeoGebra/kefa1_2_efarmogi_3_b/geogebra.9b.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/)
17:41:49	11198/11198	U-----	200	untouched ('OK')	text/html	etag:%22980190-2bbe-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/extras/Experiments-Simulations/GeoGebra/kefa1_2_istoriko_simeioma/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/extras/Experiments-Simulations/GeoGebra/kefa1_2_istoriko_simeioma/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/)
17:41:50	257/257	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:41:51%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/extras/Experiments-Simulations/GeoGebra/kefa1_2_istoriko_simeioma/geogebra.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/extras/Experiments-Simulations/GeoGebra/kefa1_2_istoriko_simeioma/geogebra.9e.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10903/)
17:41:50	7157/7157	U-----	200	untouched ('OK')	text/html	etag:%2298017e-1bf5-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_efarmogi/dschInfo.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_efarmogi/dschInfo.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_efarmogi/index.html)
17:41:51	7157/7157	U-----	200	untouched ('OK')	text/html	etag:%22980189-1bf5-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_drastiriotita/dschInfo.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_drastiriotita/dschInfo.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_drastiriotita/index.html)
17:41:51	27376/27376	U--MC-	200	updated ('OK')	text/html	date:Mon,%2012%20Nov%202012%2015:41:52%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10905/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10905/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/)
17:41:51	8096/8096	U-----	200	untouched ('OK')	text/html	etag:%229801b4-1fa0-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/extras/Experiments-Simulations/GeoGebra/kefa1_3_drastiriotita_1/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/extras/Experiments-Simulations/GeoGebra/kefa1_3_drastiriotita_1/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/)
17:41:52	255/255	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:41:53%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/extras/Experiments-Simulations/GeoGebra/kefa1_3_drastiriotita_1/geogebra.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/extras/Experiments-Simulations/GeoGebra/kefa1_3_drastiriotita_1/geogebra.c2.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/)
17:41:52	7331/7331	U-----	200	untouched ('OK')	text/html	etag:%229801ab-1ca3-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/extras/Experiments-Simulations/GeoGebra/kefa1_3_drastiriotita_gia_to_spiti_1/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/extras/Experiments-Simulations/GeoGebra/kefa1_3_drastiriotita_gia_to_spiti_1/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/)
17:41:52	268/268	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:41:54%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/extras/Experiments-Simulations/GeoGebra/kefa1_3_drastiriotita_gia_to_spiti_1/geogebra.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/extras/Experiments-Simulations/GeoGebra/kefa1_3_drastiriotita_gia_to_spiti_1/geogebra.c5.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/)
17:41:52	17201/17201	U-----	200	untouched ('OK')	text/html	etag:%229801a5-4331-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/extras/Experiments-Simulations/GeoGebra/kefa1_3_drastiriotita_gia_to_spiti_2_a/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/extras/Experiments-Simulations/GeoGebra/kefa1_3_drastiriotita_gia_to_spiti_2_a/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10904/)
