date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:01:19	301/301	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:01:20%20GMT	http://digitalschool.minedu.gov.gr/robots.txt		(from )
17:01:19	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2012%20Nov%202012%2015:01:21%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/index.html	(from )
17:01:20	37646/37646	---MC-	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202012%2015:01:21%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/)
17:01:20	2223/2223	---M--	200	added ('OK')	text/css	etag:%2228252f-8af-4c60c8c9f4d00%22	http://digitalschool.minedu.gov.gr/template/ds//ebook_fullscreen.css	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/template/ds_/ebook_fullscreen.css	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/)
17:01:20	8539/8539	---M--	200	added ('OK')	text/css	etag:%22761447-215b-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/style.css	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/style.css	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/)
17:01:21	3136/3136	---M--	200	added ('OK')	image/png	etag:%223206f2-c40-4c4ef445cc180%22	http://digitalschool.minedu.gov.gr/template/ds/img/ebook/back_grey.png	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/template/ds/img/ebook/back_grey.png	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/)
17:01:21	3175/3175	---M--	200	added ('OK')	image/png	etag:%223206f6-c67-4c4ef445cc180%22	http://digitalschool.minedu.gov.gr/template/ds/img/ebook/next.png	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/template/ds/img/ebook/next.png	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/)
17:01:21	3177/3177	---M--	200	added ('OK')	image/png	etag:%223206f8-c69-4c4ef445cc180%22	http://digitalschool.minedu.gov.gr/template/ds/img/ebook/nofullscreen.png	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/template/ds/img/ebook/nofullscreen.png	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/)
17:01:21	5720/5720	---M--	200	added ('OK')	image/png	etag:%223206fb-1658-4c4ef445cc180%22	http://digitalschool.minedu.gov.gr/template/ds/img/lp/logo_openeclass.png	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/template/ds/img/lp/logo_openeclass.png	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/)
17:01:22	43/43	---M--	200	added ('OK')	image/gif	date:Mon,%2012%20Nov%202012%2015:01:24%20GMT	http://ds-analytics.noc.uoa.gr/piwik.php?idsite=2	/var/www/moodle/uploads/book_A/ds-analytics.noc.uoa.gr/piwik0624.gif	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/)
17:01:23	297/297	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:01:24%20GMT	http://ds-analytics.noc.uoa.gr/robots.txt		(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/)
17:01:24	21993/21993	---MC-	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202012%2015:01:24%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/)
17:01:24	8539/8539	---M--	200	added ('OK')	text/css	etag:%229626cf-215b-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/style.css	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/style.css	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/)
17:01:24	3174/3174	---M--	200	added ('OK')	image/png	etag:%22840947-c66-4c4ef445cc180%22	http://digitalschool.minedu.gov.gr/template/ds/img/ebook/back.png	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/template/ds/img/ebook/back.png	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/)
17:01:28	17176/17176	---M--	200	added ('OK')	image/jpeg	etag:%229626e8-4318-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/images/imgA100-02.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/images/imgA100-02.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/)
17:01:30	34611/34611	---M--	200	added ('OK')	image/jpeg	etag:%229626e0-8733-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/images/imgA100-01.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/images/imgA100-01.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/)
17:01:30	36751/36751	---MC-	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202012%2015:01:30%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
17:01:30	8539/8539	---M--	200	added ('OK')	text/css	etag:%229626cf-215b-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/style.css	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/style.css	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
17:01:31	2753/2753	---M--	200	added ('OK')	image/jpeg	etag:%22962bfa-ac1-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/tmpl_activity_icon01.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/tmpl_activity_icon01.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
17:01:32	6711/6711	---M--	200	added ('OK')	image/jpeg	etag:%229626e4-1a37-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/imgA101-01.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/imgA101-01.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
17:01:32	3870/3870	---M--	200	added ('OK')	image/jpeg	etag:%229626e6-f1e-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/imgA101-02.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/imgA101-02.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
17:01:34	7213/7213	---M--	200	added ('OK')	image/jpeg	etag:%229626e5-1c2d-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/imgA101-03.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/imgA101-03.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
17:01:35	58613/58613	---M--	200	added ('OK')	image/jpeg	etag:%229626df-e4f5-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/images/imgA100-03.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/images/imgA100-03.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/)
17:01:35	123091/123091	---M--	200	added ('OK')	image/jpeg	etag:%2276148e-1e0d3-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/images/img0_1.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2865,10900/images/img0_1.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/)
17:01:37	2156/2156	---M--	200	added ('OK')	image/jpeg	etag:%22962c4b-86c-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/tmpl_figure_example1.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/tmpl_figure_example1.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
17:01:37	1156/1156	---M--	200	added ('OK')	image/jpeg	etag:%22962c79-484-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/tmpl_label_sol.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/tmpl_label_sol.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
17:01:40	167948/167948	---M--	200	added ('OK')	text/html	etag:%22980183-2900c-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_efarmogi/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_efarmogi/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
17:01:41	3377/3377	---M--	200	added ('OK')	image/png	etag:%229626de-d31-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/experiment.png	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/experiment.png	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
17:01:42	64816/64816	---M--	200	added ('OK')	text/html	etag:%2298018a-fd30-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_drastiriotita/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/extras/Experiments-Simulations/GeoGebra/kefa1_1_drastiriotita/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
17:01:42	900/900	---M--	200	added ('OK')	image/jpeg	etag:%22962c5b-384-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/tmpl_icon_exer01.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/tmpl_icon_exer01.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
17:01:42	2880/2880	---M--	200	added ('OK')	image/jpeg	etag:%22962c47-b40-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/tmpl_figure_exercise1.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/tmpl_figure_exercise1.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
17:01:43	905/905	---M--	200	added ('OK')	image/jpeg	etag:%22962c59-389-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/tmpl_icon_exer02.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10902/images/tmpl_icon_exer02.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10901/)
